,id,name,lat,lng,subCategory,location,language,polarity,rating,source,text,time,wordsCount,details,tr
0,28044,Steiger1,52.369762,4.936941,,Amsterdam,nl,10,0.0,Foursquare,Heerlijke steigerburger!!,2013-07-18,2,http://tour-pedia.org/api/getReviewDetails?id=52a738d5ae9eef5a5063e78b,It's a delicious steigerburger!!
1,28044,Steiger1,52.369762,4.936941,,Amsterdam,nl,10,0.0,Foursquare,Top tent .. 10 minuten gezeten niemand ad tafel gehad. Dat was eenmalig. Nu naar Mercat daar weten ze wat service is!,2013-07-11,20,http://tour-pedia.org/api/getReviewDetails?id=52a738d5ae9eef5a5063e78c,"Top tent.. 10 minutes, nobody was at the table for 10 minutes. That was the only time. Now to Mercat where they know what service is!"
2,28044,Steiger1,52.369762,4.936941,,Amsterdam,nl,5,0.0,Foursquare,Laat je adviseren door gastvrouw/-heer bij menukeuze.,2013-04-25,8,http://tour-pedia.org/api/getReviewDetails?id=52a738d5ae9eef5a5063e78d,Please be advised by the hostess at menu choice.
3,28044,Steiger1,52.369762,4.936941,,Amsterdam,nl,10,0.0,Foursquare,"eten, drinken en aanmeren!",2012-07-15,4,http://tour-pedia.org/api/getReviewDetails?id=52a738d5ae9eef5a5063e78e,"Eat, drink, and swim!"
4,28044,Steiger1,52.369762,4.936941,,Amsterdam,en,10,5.0,GooglePlaces,"Just wonderfull.... great place to hang out, come with your boat, relax at the dock. Food and service excellent.",2012-08-03,19,http://tour-pedia.org/api/getReviewDetails?id=533ecc89ae9eef521e5f3d31,"Just wonderfull.... great place to hang out, come with your boat, relax at the dock. Food and service excellent."
5,27910,247 Pizza,52.33945,4.927057,,Amsterdam,en,5,3.0,GooglePlaces,"So my friend and I wanted pizza and cigarettes one late night, around 3 am. We called this place, and they were more than willing to pick up a pack of cigarettes for us with our pizza. The told us it would take about an hour, but it came in about 30-45 minutes, which was a nice surprise. When the pizza arrived, the delivery driver tried to charge us for both the pizza and cigarettes, but he had forgotten to pick up the cigarettes. When we suggested he go back out and get them since it was his mistake, he was very rude and made up the excuse of not knowing where to get them. This really irritated me. So we paid him the 15 euros for just the large pizza then dismissed him. Already irritated about not having my smokes, I was not happy to open the box and find that the pizza was not even cut. Who does that? But the vegetarian pizza we got was overall very tasty. Maybe we just got stuck with incompetent pizza makers and drivers, but I would definitely recommend this place for the tastiness of the pizza and not the service.",2011-01-10,197,http://tour-pedia.org/api/getReviewDetails?id=533ecc8bae9eef521e5f5081,"So my friend and I wanted pizza and cigarettes one late night, around 3 am. We called this place, and they were more than willing to pick up a pack of cigarettes for us with our pizza. The told us it would take about an hour, but it came in about 30-45 minutes, which was a nice surprise. When the pizza arrived, the delivery driver tried to charge us for both the pizza and cigarettes, but he had forgotten to pick up the cigarettes. When we suggested he go back out and get them since it was his mistake, he was very rude and made up the excuse of not knowing where to get them. This really irritated me. So we paid him the 15 euros for just the large pizza then dismissed him. Already irritated about not having my smokes, I was not happy to open the box and find that the pizza was not even cut. Who does that? But the vegetarian pizza we got was overall very tasty. Maybe we just got stuck with incompetent pizza makers and drivers, but I would definitely recommend this place for the tastiness of the pizza and not the service."
6,27910,247 Pizza,52.33945,4.927057,,Amsterdam,en,10,5.0,GooglePlaces,Just ordered a pizza here..do that all the time at night.. Was kind of curious if evening was good as well. Well it was. The pizza&#39;s are italian thin crust style and fresh toppings. Anyway the pizza was Awesome. Thank you 247 for making great pizza&#39;s available till 6.00 in the morning,2009-12-22,53,http://tour-pedia.org/api/getReviewDetails?id=533ecc8bae9eef521e5f5082,Just ordered a pizza here..do that all the time at night.. Was kind of curious if evening was good as well. Well it was. The pizza&#39;s are italian thin crust style and fresh toppings. Anyway the pizza was Awesome. Thank you 247 for making great pizza&#39;s available till 6.00 in the morning
7,27910,247 Pizza,52.33945,4.927057,,Amsterdam,en,2,4.0,GooglePlaces,"Still waiting for this pizza, expensive but lush.",2010-08-05,8,http://tour-pedia.org/api/getReviewDetails?id=533ecc8bae9eef521e5f5083,"Still waiting for this pizza, expensive but lush."
8,27910,247 Pizza,52.33945,4.927057,,Amsterdam,en,8,1.0,GooglePlaces,Bad pizza but one if the only one open at night and close to overamstel,2011-01-13,15,http://tour-pedia.org/api/getReviewDetails?id=533ecc8bae9eef521e5f5084,Bad pizza but one if the only one open at night and close to overamstel
9,27910,247 Pizza,52.33945,4.927057,,Amsterdam,en,10,5.0,GooglePlaces,"I arrived at Amsterdam at 10pm, and decided to go for a walk in the city. When I realized it was already 1&#39;30 and I was starving, no dinner yet. So I ordered the simpler pizza they had online, Margherita, but have added parma ham, onions and fresh tomatos. EXCELENT CHOICE!! The website was great, easy and well organized to use. I could choose the time I wanted it to be delivered ( considering that they make clear on the website that it depends if there are too many orders to attend or not). I order it at 2am and it was delivered at 2&#39;20! The pizza arrived at my hotel room door still hot, with melted cheese. Just loved it... On my top favorites for an Amsterdam trip.",2013-08-08,126,http://tour-pedia.org/api/getReviewDetails?id=533ecc8bae9eef521e5f5085,"I arrived at Amsterdam at 10pm, and decided to go for a walk in the city. When I realized it was already 1&#39;30 and I was starving, no dinner yet. So I ordered the simpler pizza they had online, Margherita, but have added parma ham, onions and fresh tomatos. EXCELENT CHOICE!! The website was great, easy and well organized to use. I could choose the time I wanted it to be delivered ( considering that they make clear on the website that it depends if there are too many orders to attend or not). I order it at 2am and it was delivered at 2&#39;20! The pizza arrived at my hotel room door still hot, with melted cheese. Just loved it... On my top favorites for an Amsterdam trip."
